Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,MIDDLE,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
39261c51-1b67-5487-8152-f6e4c7d52e2e,1996-03-01,,999-11-2186,S99920031,X52029437X,Mr.,Carmelo33,Dannie881,Klein929,,,M,black,nonhispanic,M,North Andover  Massachusetts  US,1084 Corkery Boulevard,Boston,Massachusetts,Suffolk County,25025,02135,42.34642576283476,-70.98801397072587,4156.85,147579.99,11205
477c7878-0605-dd40-fb53-217f11865873,1988-09-24,,999-86-8910,S99957927,X12972242X,Mr.,Delmer311,Frank378,Hirthe744,,,M,white,nonhispanic,M,Randolph  Massachusetts  US,252 Friesen Heights Suite 20,Somerville,Massachusetts,Middlesex County,25017,02138,42.33287984347738,-71.17614764410354,7160.93,77288.80,19271
aecef2ef-cecd-aa54-0474-e8ec5468d2a8,1978-11-05,,999-60-5257,S99913848,X52449769X,Mr.,Fletcher87,Damion480,Schiller186,,,M,black,nonhispanic,M,Chicopee  Massachusetts  US,972 Aufderhar Avenue,Boston,Massachusetts,Suffolk County,25025,02126,42.227912672092806,-71.10119526088694,99252.74,0.00,104640
d0a14698-3227-b2b2-1fc4-b1616f5e6a8b,1983-03-23,,999-55-4773,S99945129,X40407412X,Mr.,Fermin479,,Krajcik437,,,M,white,nonhispanic,M,Boston  Massachusetts  US,127 Ondricka Hollow Suite 54,Westport,Massachusetts,Bristol County,,00000,41.591458561401275,-71.11515505565045,8099.31,161665.18,2345
b145fd4e-82ab-deb1-4c25-b0b2714aa1d7,2000-02-27,,999-26-5984,S99978592,X82146685X,Mr.,Raymond398,Waldo53,Bernier607,,,,black,nonhispanic,M,Boston  Massachusetts  US,455 Glover Ferry,Dartmouth,Massachusetts,Bristol County,,00000,41.52063961749809,-70.9990728197164,5950.00,79254.65,10930
400d49fd-b271-dc8e-b808-68da0a369d7b,1975-10-19,,999-14-2540,S99961779,X77879539X,Mr.,Dexter530,Derick144,Buckridge80,,,S,white,nonhispanic,M,Quincy  Massachusetts  US,365 Dietrich Key Apt 8,Amherst Center,Massachusetts,Hampshire County,,00000,42.40791587089007,-72.4803419252593,102199.75,6470.40,49971
d01a29f2-6288-3896-55b1-e84dd1183d45,2000-06-14,,999-76-3436,S99992697,X42809220X,Mr.,Raymundo71,Gerry91,Keebler762,,,,white,nonhispanic,M,Wellesley  Massachusetts  US,130 Rogahn Mission,Boston,Massachusetts,Suffolk County,25025,02115,42.35876432622337,-71.07284833658476,4298.05,62453.13,11534
24e108ae-a6f0-af05-3677-f1dd28d751b1,1976-07-12,,999-35-4441,S99989903,X22455296X,Mrs.,Yolande652,David908,Conroy74,,Mosciski958,M,white,nonhispanic,F,Oakham  Massachusetts  US,539 Predovic Bridge,Wellesley,Massachusetts,Norfolk County,25021,02492,42.31304480239213,-71.29010422828112,366795.81,554657.03,125213
fd6e356d-4baf-f36c-6ac4-062f3ffb6d02,1990-11-11,,999-87-4114,S99955213,X6661900X,Mr.,Modesto621,Clement78,Kerluke267,,,M,white,nonhispanic,M,Watertown  Massachusetts  US,830 Boyer Esplanade Unit 14,Worcester,Massachusetts,Worcester County,25027,01583,42.26063270852935,-71.79971627588014,137602.89,447317.37,82019
9d4f7eb0-20f3-76f8-af3d-bd581a730bfe,2000-08-08,,999-94-4113,S99951054,X16529803X,Mr.,Bruce167,Jesus702,Jakubowski832,,,,white,nonhispanic,M,Waltham  Massachusetts  US,520 Crona Skyway,Boston,Massachusetts,Suffolk County,25025,02128,42.3085126313038,-71.05058344085323,3218.00,86002.14,20075
544fbf2a-19c4-14a5-e5f9-59113eb6c9bb,1989-04-13,,999-97-2719,S99933304,X59859721X,Mrs.,Elenora790,Bronwyn77,Renner328,,Lang846,M,white,nonhispanic,F,Andover  Massachusetts  US,1061 Ullrich Parade Apt 38,Medway,Massachusetts,Norfolk County,,00000,42.146688488581844,-71.46919767553129,190576.38,261599.33,132502
4c3d90b2-f295-e306-cb5c-65394fddf8db,1983-06-16,,999-92-5536,S99915860,X33969109X,Ms.,Concetta811,Micheline936,Crooks415,,,S,white,nonhispanic,F,Fall River  Massachusetts  US,362 Connelly Landing Unit 92,Westwood,Massachusetts,Norfolk County,,00000,42.24293084785487,-71.22840436153551,136340.49,818357.61,591986
f0a96a10-a2c8-0208-109f-a16fdc5e549c,2014-02-19,,999-27-2605,,,,Andreas188,Michael441,Medhurst46,,,,black,nonhispanic,M,Millis  Massachusetts  US,521 Walker Vista,Walpole,Massachusetts,Norfolk County,25021,02081,42.10964636230829,-71.27374747390841,49194.68,16909.03,121147
0892abdc-ea39-e2f0-c43d-dd15809714c0,1951-11-30,,999-66-4350,S99924289,X19194418X,Mrs.,Inge747,Anette189,Mayert710,,Rath779,M,asian,nonhispanic,F,New Bedford  Massachusetts  US,569 Keeling Landing Unit 3,Cambridge,Massachusetts,Middlesex County,25017,02142,42.422468148489656,-71.13350971331464,152908.66,1397856.25,62302
1f430033-2fe2-1364-6bd8-6de5b68b66cf,1968-04-13,,999-72-1085,S99927160,X6338854X,Mr.,Rickey821,Carey440,Jakubowski832,,,M,white,nonhispanic,M,New Bedford  Massachusetts  US,567 White Row,Wellesley,Massachusetts,Norfolk County,25021,02482,42.32617141094185,-71.24803357634075,138805.73,50706.82,246702
57f5775d-6eae-a13a-8b5e-25a8c21dc391,1956-07-10,,999-42-3593,S99961907,X50779062X,Mrs.,Kassandra256,Emilee283,Nikolaus26,,McGlynn426,M,white,nonhispanic,F,Holliston  Massachusetts  US,174 Hudson Hollow Apt 78,Lowell,Massachusetts,Middlesex County,25017,01852,42.61294403405147,-71.33053739414659,247577.01,1425480.20,27531
a9827212-4b26-d5bc-49f3-8a60d0f48d68,1973-02-17,,999-56-1957,S99949056,X53057057X,Mr.,Deandre599,,Steuber698,,,M,white,nonhispanic,M,Leominster  Massachusetts  US,392 Herman Run,Holliston,Massachusetts,Middlesex County,,00000,42.17426637557575,-71.4140514272172,188106.07,40244.22,189676
a1f14ef1-ea96-7b69-4a1d-4df8bbcc6dce,1997-12-30,,999-98-3536,S99954028,X6305297X,Mr.,Oswaldo857,Lynn917,O'Reilly797,,,,asian,nonhispanic,M,Barnstable  Massachusetts  US,992 Parker Tunnel,Quincy,Massachusetts,Norfolk County,25021,02186,42.277360418487845,-71.0072803782484,99666.63,62125.28,33851
f81db2fe-49c7-bfb3-fe6e-37678036eac3,1981-03-25,,999-38-9053,S99953015,X38183841X,Mr.,Erin498,Scott935,Stroman228,,,M,white,nonhispanic,M,Millbury  Massachusetts  US,1089 Schoen Dale Unit 27,Boston,Massachusetts,Suffolk County,25025,02114,42.3288106849913,-71.0963196919706,364891.23,313066.20,81206
35b37fd3-17ae-2e5a-95b9-9780d35e265f,1974-08-26,,999-85-6674,S99954794,X82877662X,Mr.,Rubén780,Germán350,Muro989,,,M,white,hispanic,M,Bogota  Bogota  CO,966 Ruecker Alley Apt 15,Newton,Massachusetts,Middlesex County,25017,02467,42.30472450061697,-71.23304500418931,96953.51,96680.69,29089
